branch,department,class,gross_sales,discount,sales_after_discount,Vat Amount,Net Sales,B,A,C,"Cst Ls Vt
",Net Contribution,Margin ,Markup ,source_file,source_branch,loaded_at,sku_code,product_name,quantity,vat_amount,net_sale,cost_ex_vat,net_contribution,margin_pct,markup_pct,Total Net Contribution : ,2230.3706896551726,\
Jogoo Road,AIR TIME,Safaricom,13.0,0.0,13.0,1.7931034482758608,11.206896551724139,11.206896551724139,0,0.0,5.603448275862069,5.603448275862069,50.0,100.0,airtime.XLSX,Jogoo Road,2026-03-15 21:59:40.832780,,,,,,,,,,,,
Jogoo Road,NAN,,13.0,0.0,13.0,1.7931034482758608,11.206896551724139,11.206896551724139,0,0.0,5.603448275862069,5.603448275862069,50.0,100.0,airtime.XLSX,Jogoo Road,2026-03-15 21:59:40.832780,,,,,,,,,,,,
Jogoo Road,BAKERY,Bread,2275.0,0.0,2275.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40921554,MILL BAKERS MILKY BREAD 400G,35.0,0.0,2275.0,1925.0,350.0,15.384615384615385,18.181818181818183,,,
Jogoo Road,BAKERY,Bread,1600.0,0.0,1600.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920904,Festive cream roll vanilla 70g,32.0,220.68965517241386,1379.310344827586,1078.2989655172414,301.01137931034464,21.823324999999986,27.915391643351402,,,
Jogoo Road,BAKERY,Bread,200.0,0.0,200.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920903,Festive cream roll caramel  70g,4.0,27.586206896551715,172.41379310344828,117.6551724137931,54.75862068965519,31.760000000000012,46.54161781946075,,,
Jogoo Road,BAKERY,Bread,16652.85,0.0,16652.85,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,102033,Heart Deli 300g,159.0,2296.944827586215,14355.905172413783,10778.318965517261,3577.5862068965216,24.920659226498575,33.19243212547505,,,
Jogoo Road,BAKERY,Bread,980.0,0.0,980.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40922594,supa choco chip muffins300g,7.0,135.17241379310335,844.8275862068966,573.2758620689655,271.55172413793116,32.14285714285715,47.368421052631604,,,
Jogoo Road,BAKERY,Bread,270.0,0.0,270.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40922592,supa bread roll 400g,3.0,0.0,270.0,180.0,90.0,33.33333333333333,50.0,,,
Jogoo Road,BAKERY,Bread,375.0,0.0,375.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40922593,Supa Long Buns 300g,5.0,51.72413793103445,323.2758620689656,224.1379310344828,99.13793103448279,30.66666666666667,44.23076923076924,,,
Jogoo Road,BAKERY,Bread,520.0,0.0,520.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40922382,supa loaf sweet bread 400g,8.0,0.0,520.0,456.0,64.0,12.307692307692308,14.035087719298245,,,
Jogoo Road,BAKERY,Bread,100.0,0.0,100.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,102183,Supa Loaf White 800g,1.0,0.0,100.0,86.0,14.0,14.000000000000002,16.27906976744186,,,
Jogoo Road,BAKERY,Bread,9240.0,0.0,9240.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,101321,Festive brown bread 600g,77.0,0.0,9240.0,6930.0,2310.0,25.0,33.33333333333333,,,
Jogoo Road,BAKERY,Bread,15975.0,0.0,15975.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,100966,Festive White Bread 400g,213.0,0.0,15975.0,12780.0,3195.0,20.0,25.0,,,
Jogoo Road,BAKERY,Bread,14280.0,0.0,14280.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,100957,Festive WhiteBread 600g,119.0,0.0,14280.0,10650.0,3630.0,25.42016806722689,34.08450704225352,,,
Jogoo Road,BAKERY,Bread,980.0,0.0,980.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,100959,Festive pre white Burger Buns,7.0,135.17241379310335,844.8275862068966,663.7931034482758,181.0344827586208,21.42857142857144,27.272727272727295,,,
Jogoo Road,BAKERY,Bread,3000.0,0.0,3000.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,100963,Festive Brown Bread 400g,40.0,0.0,3000.0,2400.0,600.0,20.0,25.0,,,
Jogoo Road,BAKERY,Bread,11250.0,0.0,11250.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,100964,Festive white bread 800g,75.0,0.0,11250.0,9000.0,2250.0,20.0,25.0,,,
Jogoo Road,BAKERY,Bread,900.0,0.0,900.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,102855,Festive cream roll strawberry 70g,20.0,124.13793103448265,775.8620689655173,689.7710344827588,86.09103448275857,11.09617777777777,12.481103174666647,,,
Jogoo Road,BAKERY,Bread,420.0,0.0,420.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,101579,supaloaf 400g,6.0,0.0,420.0,330.0,90.0,21.428571428571427,27.27272727272727,,,
Jogoo Road,BAKERY,Bread,600.0,0.0,600.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,101580,supaloaf 600g,6.0,0.0,600.0,492.0,108.0,18.0,21.951219512195124,,,
Jogoo Road,BAKERY,Cakes,5395.0,0.0,5395.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920009,Festive Ring Cake Strawberry 90g,83.0,744.1379310344822,4650.862068965518,3161.215517241375,1489.6465517241431,32.0294717330863,47.12258761225108,,,
Jogoo Road,BAKERY,Cakes,11730.0,0.0,11730.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40921220,mill bakers heart deli 500g,69.0,1617.931034482755,10112.068965517245,7911.206896551736,2200.862068965509,21.764705882352853,27.819548872180306,,,
Jogoo Road,BAKERY,Cakes,8100.0,0.0,8100.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40919959,Ring cakes,135.0,1117.241379310343,6982.758620689657,5233.793103448278,1748.9655172413786,25.046913580246898,33.41678745552771,,,
Jogoo Road,BAKERY,Cakes,2590.0,0.0,2590.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920759,MILL BAKERS SOFT SCONES 350G,37.0,357.2413793103443,2232.758620689656,1594.8275862068972,637.9310344827586,28.571428571428566,39.999999999999986,,,
Jogoo Road,BAKERY,Cakes,70.0,0.0,70.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,100977,Anju Teacake 100g,1.0,9.655172413793096,60.344827586206904,43.10344827586207,17.241379310344833,28.571428571428577,40.00000000000001,,,
Jogoo Road,BAKERY,Cakes,495.0,0.0,495.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,100981,Anju Queen Cake 6Pack,3.0,68.27586206896552,426.7241379310345,310.3448275862069,116.37931034482756,27.272727272727266,37.499999999999986,,,
Jogoo Road,BAKERY,Cakes,500.0,0.0,500.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,100971,Anju Marble 200g,5.0,68.96551724137929,431.0344827586207,301.72413793103453,129.31034482758616,29.99999999999999,42.85714285714284,,,
Jogoo Road,BAKERY,Cakes,80.0,0.0,80.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40921034,Newtons Marble Cake 300g,1.0,11.034482758620683,68.96551724137932,51.724137931034484,17.241379310344833,25.000000000000007,33.33333333333334,,,
Jogoo Road,BAKERY,Cakes,0.0,0.0,0.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40920613,festive pound cake 400g chocolate,0.0,0.0,0.0,0.0,0.0,,0.0,,,
Jogoo Road,BAKERY,Cakes,1680.0,0.0,1680.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40921765,lana pie 35g,42.0,231.72413793103448,1448.2758620689656,1086.206896551724,362.0689655172416,25.000000000000018,33.33333333333336,,,
Jogoo Road,BAKERY,Cakes,300.0,0.0,300.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,RE40921764,lana cust,6.0,41.379310344827566,258.62068965517244,174.00000000000003,84.62068965517241,32.71999999999999,48.63258026159333,,,
Jogoo Road,BAKERY,Cakes,9120.0,0.0,9120.0,,,,,,,,,,alcoholic beverages.XLSX,Jogoo Road,2026-03-15 21:59:41.000631,V40919802,Festive Half Pound BlueBerry 200g,76.0,1257.9310344827577,7862.068965517243,5896.692068965518,1965.3768965517247,24.998214912280705,33.33015991958555,,,
